Sl No.,Service Type,Department,Service Name,Standard,Semi Private,Private,Private Deluxe,Deluxe,Suite,Maharaja Suite
201,Investigations,Haematology,(AHLL) CHRONIC LYMPHOCYTIC LEUKEMIA ( CLL ) PANEL (FISH + KARYOTYPING),"21,120","21,120","21,120","21,120","21,120","21,120","21,120"
202,Investigations,Haematology,(DABUR) CML QUEST (D),"5,790","5,790","5,790","5,790","5,790","5,790","5,790"
203,Investigations,Haematology,(DABUR) CML QUEST (MRD),"9,900","9,900","9,900","9,900","9,900","9,900","9,900"
204,Investigations,Haematology,(DABUR) CML QUEST (MRD) BPA,"12,390","12,390","12,390","12,390","12,390","12,390","12,390"
205,Investigations,Haematology,(AHLL) IRMA (IMATINIB RESISTANCE MUTATION ANALYSIS) IN CML,"13,200","13,200","13,200","13,200","13,200","13,200","13,200"
206,Investigations,Haematology,(DABUR) CML QUEST-(D)-(BPA),"8,250","8,250","8,250","8,250","8,250","8,250","8,250"
207,Investigations,Haematology,(DABUR) COMBO QUEST I FOR AML,"11,550","11,550","11,550","11,550","11,550","11,550","11,550"
208,Investigations,Haematology,(AHLL) AML COMPREHENSIVE PANEL,"23,760","23,760","23,760","23,760","23,760","23,760","23,760"
209,Investigations,Haematology,(AHLL) CLL PANEL BY FLOW CYTOMETRY,"18,040","18,040","18,040","18,040","18,040","18,040","18,040"
210,Investigations,Haematology,(AHLL) MYELODYSPLACTIC SYNDROME ( MDS ) PANEL - FISH,"12,540","12,540","12,540","12,540","12,540","12,540","12,540"
211,Investigations,Haematology,(AHLL) FISH-DEL 13Q,"5,590","5,590","5,590","5,590","5,590","5,590","5,590"
212,Investigations,Haematology,(AHLL) FISH for 7q deletion and monosomy/numerical abnormalities of chromosome 7,"5,780","5,780","5,780","5,780","5,780","5,780","5,780"
213,Investigations,Haematology,"(AHLL) FISH, ETO/AML1, T (8 21)","5,600","5,600","5,600","5,600","5,600","5,600","5,600"
214,Investigations,Haematology,(AHLL) EOSINOPHILIA PANEL BY FISH ( PDGFRA PDGFRB AND FGFR1 REARRANGEMENTS),"8,810","8,810","8,810","8,810","8,810","8,810","8,810"
215,Investigations,Haematology,"(AHLL) PNH TEST ON WHITE BLOOD CELLS [ANTI-CD45, CD14, CD15, CD24 AND CD64ANTIBODIES, AND FLUOROSCENT AEROLYSIN (FLAER)]","7,470","7,470","7,470","7,470","7,470","7,470","7,470"
216,Investigations,Haematology,(AHLL) FLT3 - ITD (FETAL LIVER TYROSINE KINASE),"5,700","5,700","5,700","5,700","5,700","5,700","5,700"
217,Investigations,Haematology,(AHLL) GLYCOPHORIN (ERYTHROID CELL MARKER),"2,060","2,060","2,060","2,060","2,060","2,060","2,060"
218,Investigations,Haematology,(AHLL) HAIRY CELL LEUKEMIA PANEL,"6,600","6,600","6,600","6,600","6,600","6,600","6,600"
219,Investigations,Haematology,(AHLL) IGH/BCI 2T-,"6,120","6,120","6,120","6,120","6,120","6,120","6,120"
220,Investigations,Haematology,(AHLL) IgVH GENE MUTATION,"9,020","9,020","9,020","9,020","9,020","9,020","9,020"
221,Investigations,Haematology,(DABUR) INQUEST 16RT,"13,200","13,200","13,200","13,200","13,200","13,200","13,200"
222,Investigations,Haematology,(AHLL) PV Jak2 Reflex Panel,"15,440","15,440","15,440","15,440","15,440","15,440","15,440"
223,Investigations,Haematology,(AHLL) KAPPA FREE LIGHT CHAINS,"4,570","4,570","4,570","4,570","4,570","4,570","4,570"
224,Investigations,Haematology,(AHLL) FREE LAMBDA - SERUM,"2,640","2,640","2,640","2,640","2,640","2,640","2,640"
225,Investigations,Haematology,(DABUR) MCL QUEST-D IGH/CCND1 T,"5,610","5,610","5,610","5,610","5,610","5,610","5,610"
226,Investigations,Haematology,(DABUR) MDS QUEST DETECTION,"13,200","13,200","13,200","13,200","13,200","13,200","13,200"
227,Investigations,Haematology,(AHLL) MLL(11Q23)/AF4(4Q21)-T(4 11)(Q21 Q23),"8,250","8,250","8,250","8,250","8,250","8,250","8,250"
228,Investigations,Haematology,(AHLL) NPM1 (NUCLEOPHOSMIN1) GENE - AML,"4,570","4,570","4,570","4,570","4,570","4,570","4,570"
229,Investigations,Haematology,(AHLL) PML (15Q22) AND RAR?(17Q21) (T(15 17)(Q21 Q22)),"6,120","6,120","6,120","6,120","6,120","6,120","6,120"
230,Investigations,Haematology,"(AHLL) SCREENING FOR X,Y CHIMERISM POST BMT","6,600","6,600","6,600","6,600","6,600","6,600","6,600"
231,Investigations,Haematology,(AHLL) SURFACE IGM,"1,650","1,650","1,650","1,650","1,650","1,650","1,650"
232,Investigations,Haematology,(AHLL) T-CELL CLONALITY,"24,720","24,720","24,720","24,720","24,720","24,720","24,720"
233,Investigations,Haematology,(AHLL) TDT (TERMINAL DEOXYNUCLEOTIDAL TRANSFERASE) (PRECURSOR CELL MARKER),"2,400","2,400","2,400","2,400","2,400","2,400","2,400"
234,Investigations,Haematology,(AHLL) TEL (12P13)/AML1(21Q22)-T(12 21)(P13 Q22),"6,120","6,120","6,120","6,120","6,120","6,120","6,120"
235,Investigations,Haematology,(AHLL) TPMT (THIO PURINE METHYL TRANSFERASE) GENOTYPING,"9,900","9,900","9,900","9,900","9,900","9,900","9,900"
236,Investigations,Haematology,(AHLL) UGT1A1 GENE (GILBERT'S SYNDROME),"9,900","9,900","9,900","9,900","9,900","9,900","9,900"
237,Investigations,Haematology,(AHLL) ZAP-70 ZETA CHAIN ASSOCIATED PROTEIN KINASE 70 (CLL),"3,030","3,030","3,030","3,030","3,030","3,030","3,030"
238,Investigations,Haematology,(AHLL) PROTEIN C,"6,450","6,450","6,450","6,450","6,450","6,450","6,450"
239,Investigations,Haematology,(RANBAXY) DI-GEORGE SYNDROME,"6,440","6,440","6,440","6,440","6,440","6,440","6,440"
240,Investigations,Haematology,(AHLL) MTHFR - (METHYL TETRA HYDRO FOLATE REDUCTASE) GENE MUTATION (HOMOCYSTEINEMIA),"11,960","11,960","11,960","11,960","11,960","11,960","11,960"
241,Investigations,Haematology,(AHLL) THROMBOPHILIA COMPREHENSIVE PROFILE,"18,990","18,990","18,990","18,990","18,990","18,990","18,990"
242,Investigations,Haematology,(RELIANCE) MELAS MITOCHONDRIAL DISEASE,"6,600","6,600","6,600","6,600","6,600","6,600","6,600"
243,Investigations,Haematology,(AHLL) ALPHA - GLOBIN GENE MUTATION ANALYSIS ( ALPHA - THALASSEMIA),"9,650","9,650","9,650","9,650","9,650","9,650","9,650"
244,Investigations,Haematology,(AHLL) (SRL) ANTI PLATELET ANTIBODY,"10,560","10,560","10,560","10,560","10,560","10,560","10,560"
245,Investigations,Haematology,(AHLL) BCR/ABL QUANTITATIVE - RT PCR (PHILADELPHIA),"6,840","6,840","6,840","6,840","6,840","6,840","6,840"
246,Investigations,Haematology,(AHLL) CEBPA MUTATION,"7,410","7,410","7,410","7,410","7,410","7,410","7,410"
247,Investigations,Haematology,(AHLL) CYTOGENETICS: AML-1 / ETO; T(8;21) BY FISH,"25,920","25,920","25,920","25,920","25,920","25,920","25,920"
248,Investigations,Haematology,(SRL) DIL RUSSEL VIP VEN TIME,410,410,410,410,410,410,410
249,Investigations,Haematology,(AHLL) FACTOR IX,"2,640","2,640","2,640","2,640","2,640","2,640","2,640"
250,Investigations,Haematology,"(AHLL) FACTOR XIII, FUCNTIONAL, QUALITATIVE","1,570","1,570","1,570","1,570","1,570","1,570","1,570"
251,Investigations,Haematology,(SRL) G6PD,"1,250","1,250","1,250","1,250","1,250","1,250","1,250"
252,Investigations,Haematology,(AHLL) HEMOPHILIA PANEL,"4,620","4,620","4,620","4,620","4,620","4,620","4,620"
253,Investigations,Haematology,(AHLL) TEG TEST (KAOLIN),"1,660","1,660","1,660","1,660","1,660","1,660","1,660"
254,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 1 (t(1;19) (q23;p13), Inv(16)(p13;q22),t(9;22) (q34;q11), t(4;11) (q21;q23),t(12;21) (p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22))","9,740","9,740","9,740","9,740","9,740","9,740","9,740"
255,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 2(Inv(16)(p13;q22), t(15;17)(q22;q22), t(8;21)(q22;q22))","7,100","7,100","7,100","7,100","7,100","7,100","7,100"
256,Investigations,Haematology,(AHLL) LEUKENIA TRANSLOCATION PANEL - 3,"11,060","11,060","11,060","11,060","11,060","11,060","11,060"
257,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 4 t(1; 19) (q23; p13), t(9; 22) (q34; q11), t(4;11)(q21; q23), t(1;11) (p32; q23), t(11;19) (q23; p13.3), t(X;11) (q13; q23)","8,750","8,750","8,750","8,750","8,750","8,750","8,750"
258,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 5 t(9;22) (q34; q11), Dup MLL (11q23), t(11; 17) (q23; q21),","6,770","6,770","6,770","6,770","6,770","6,770","6,770"
259,Investigations,Haematology,"(AHLL) LEUKEMIA TRANSLOCATION PANEL 6 t(1; 19) (q23; p13), t(9; 22) (q34; q11), t(4;11) (q21; q23) and t(12; 21) (p13; q22),","8,750","8,750","8,750","8,750","8,750","8,750","8,750"
260,Investigations,Haematology,(AHLL) LUPUS ANTICOAGULANT BY DRVVT,"2,190","2,190","2,190","2,190","2,190","2,190","2,190"
261,Investigations,Haematology,(SRL) LUPUS ANTICOAGULANT STUDY,"2,090","2,090","2,090","2,090","2,090","2,090","2,090"
262,Investigations,Haematology,"(AHLL) LYMPHOCYTE ENUMERATION, BASIC(%CD3,%CD4,%CD8,%CD19,,ABS CD3,ABS CD4,ABS CD8,ABS CD19)","5,700","5,700","5,700","5,700","5,700","5,700","5,700"
263,Investigations,Haematology,(AHLL) METHAEMOGLOBIN ESTIMATION,"1,360","1,360","1,360","1,360","1,360","1,360","1,360"
264,Investigations,Haematology,"(AHLL) MPL (MYELOPROLIFERATIVE LEUKEMIA), GENE MUTATION","8,840","8,840","8,840","8,840","8,840","8,840","8,840"
265,Investigations,Haematology,(AHLL) BCR-abl t(9:22) (Philadelphia Chromosome),"7,670","7,670","7,670","7,670","7,670","7,670","7,670"
266,Investigations,Haematology,(AHLL) PROTEIN C ACTIVITY,"4,570","4,570","4,570","4,570","4,570","4,570","4,570"
267,Investigations,Haematology,(SRL) RISTOCETIN COFACTOR,"22,550","22,550","22,550","22,550","22,550","22,550","22,550"
268,Investigations,Haematology,(AHLL) SICKLE CELL DNA PCR,"3,520","3,520","3,520","3,520","3,520","3,520","3,520"
269,Investigations,Haematology,(AHLL) CYTOGENETICS: FANCONI ANEMIA,"8,940","8,940","8,940","8,940","8,940","8,940","8,940"
270,Investigations,Haematology,(AHLL) T-CELL GENE REARRANGEMENT,"40,950","40,950","40,950","40,950","40,950","40,950","40,950"
271,Investigations,Haematology,(AHLL) THALASSEMIA PROFILE,"1,970","1,970","1,970","1,970","1,970","1,970","1,970"
272,Investigations,Haematology,(AHLL) VON WILLEBRAND FACTOR,"18,990","18,990","18,990","18,990","18,990","18,990","18,990"
273,Investigations,Haematology,"(AHLL) HEMOCHROMATOSIS(HFE ,TFR2 ,FPN1 GENES) MUTATION ANALYSIS","47,040","47,040","47,040","47,040","47,040","47,040","47,040"
274,Investigations,Haematology,(AHLL) ANTI THROMBIN III,"5,530","5,530","5,530","5,530","5,530","5,530","5,530"
275,Investigations,Haematology,BRCA 1 AND BRCA 2 GENE MUTATION TEST (DABUR),"133,850","133,850","133,850","133,850","133,850","133,850","133,850"
276,Investigations,Haematology,COMBO QUEST II FOR AML(DABUR),"16,500","16,500","16,500","16,500","16,500","16,500","16,500"
277,Investigations,Haematology,COMBO QUEST-3 (DABUR),"13,390","13,390","13,390","13,390","13,390","13,390","13,390"
278,Investigations,Haematology,COMBO QUEST-7(DABUR),"20,280","20,280","20,280","20,280","20,280","20,280","20,280"
279,Investigations,Haematology,ALL TRANSLOCATION PANEL-DABUR,"12,470","12,470","12,470","12,470","12,470","12,470","12,470"
280,Investigations,Haematology,BRCA 1/BRCA 2(RELIANCE),"72,600","72,600","72,600","72,600","72,600","72,600","72,600"
281,Investigations,Haematology,(DABUR) ACUTE LYMPHOBLASTIC LEUKEMIA PANEL(T-ALL),"13,050","13,050","13,050","13,050","13,050","13,050","13,050"
282,Investigations,Haematology,SAPIEN MY PLATELET (GENOTYPE AND FUNCTIONAL),"15,620","15,620","15,620","15,620","15,620","24,480","30,810"
283,Investigations,Haematology,SAPIEN - STRAND SOMATIC CANCER - FULL PANEL (48 - GENES),"78,030","78,030","78,030","78,030","78,030","122,330","153,960"
284,Investigations,Haematology,SAPIEN - STRAND OPTHALMOLOGY PANEL,"39,040","39,040","39,040","39,040","39,040","61,190","77,030"
285,Investigations,Haematology,SAPIEN - STRAND SINGLE MUTATION CONFIRMATION,"11,580","11,580","11,580","11,580","11,580","18,150","22,850"
286,Investigations,Haematology,SAPIEN - DATAR CTC DETECTION,"19,320","19,320","19,320","19,320","19,320","30,280","38,120"
287,Investigations,Haematology,SAPIEN - DATAR CTC DOWNSTREAM ANALYSIS,"44,870","44,870","44,870","44,870","44,870","70,350","88,530"
288,Investigations,Haematology,Sapien myPLATELET (Functional only),"11,670","11,670","11,670","11,670","11,670","18,290","23,020"
289,Investigations,Haematology,Sapien Strand Hereditary cancer Panel,"43,620","43,620","43,620","43,620","43,620","68,370","86,050"
290,Investigations,Haematology,Sapien - Strand Somatic Cancer - Bridge,"36,620","36,620","36,620","36,620","36,620","57,400","72,250"
291,Investigations,Haematology,Sapien - Strand Somatic Cancer - Comprehensive Add - on,"45,950","45,950","45,950","45,950","45,950","72,030","90,660"
292,Investigations,Haematology,Sapien - Datar CTC Detection With Photograph,"35,480","35,480","35,480","35,480","35,480","55,610","69,980"
293,Investigations,Haematology,Sapien - Datar Circulating Endothelial Cells Detection,"32,900","32,900","32,900","32,900","32,900","51,580","64,920"
294,Investigations,Haematology,(AHLL) PANCREATITIS PANEL WITH GENES PRESS1 SPINK1 CFTR CTRC - DABUR,"214,500","214,500","214,500","214,500","214,500","214,500","214,500"
295,Investigations,Haematology,BRCA 1 AND 2 GENETIC TEST - SRL,"28,600","28,600","28,600","28,600","28,600","28,600","28,600"
296,Investigations,Haematology,(AHLL) HFE gene mutations,"10,120","10,120","10,120","10,120","10,120","10,120","10,120"
297,Investigations,Haematology,"(AHLL) HLA -A,B,C DRB1,DQBI","28,600","28,600","28,600","28,600","28,600","28,600","28,600"
298,Investigations,Haematology,"(AHLL) MPN Panel 1 (BCR/ABL QTY, JAK2V617F, CALR)","19,530","19,530","19,530","19,530","19,530","19,530","19,530"
299,Investigations,Haematology,(AHLL) DNA-CYSTIC FIBROSIS (DELTA F508 MUTATION),"24,310","24,310","24,310","24,310","24,310","24,310","24,310"
300,Investigations,Haematology,"(AHLL) FISH, PRENATAL ANEUPLOIDY DETECTION-AMNIOTIC FLUID (3 PROBES- TRISOMY 18, X, Y)","8,580","8,580","8,580","8,580","8,580","8,580","8,580"
301,Investigations,Haematology,"(AHLL) CHROMOSOME ANALYSIS, BLOOD","17,160","17,160","17,160","17,160","17,160","17,160","17,160"
302,Investigations,Haematology,(LILAC) NIFTY - BGI,"45,760","45,760","45,760","45,760","45,760","45,760","45,760"
303,Investigations,Haematology,(AHLL) NIPT - NON INVASIVE PRENATAL TESTING,"45,760","45,760","45,760","45,760","45,760","45,760","45,760"
304,Investigations,Haematology,DATAR-LB-CT-BC-D,"43,470","43,470","43,470","43,470","43,470","43,470","43,470"
305,Investigations,Haematology,DATAR-LB-CT-BC-TM,"96,460","96,460","96,460","96,460","96,460","96,460","96,460"
306,Investigations,Haematology,DATAR-LB-CT-BC-RM,"43,470","43,470","43,470","43,470","43,470","43,470","43,470"
307,Investigations,Haematology,DATAR-LB-CT-CC-RM,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
308,Investigations,Haematology,DATAR-LB-CT-CC-TM,"96,460","96,460","96,460","96,460","96,460","96,460","96,460"
309,Investigations,Haematology,DATAR-LB-CT-CC-D,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
310,Investigations,Haematology,DATAR-LB-CT-OC-D,"43,470","43,470","43,470","43,470","43,470","43,470","43,470"
311,Investigations,Haematology,DATAR-LB-CT-OC-TM,"96,460","96,460","96,460","96,460","96,460","96,460","96,460"
312,Investigations,Haematology,DATAR-LB-CT-OC-RM,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
313,Investigations,Haematology,DATAR-LB-CT-CEC-RM,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
314,Investigations,Haematology,DATAR-LB-CT-CEC-TM,"96,460","96,460","96,460","96,460","96,460","96,460","96,460"
315,Investigations,Haematology,DATAR-LB-CT-CEC-D,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
316,Investigations,Haematology,DATAR-LB-CT-HNC-D,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
317,Investigations,Haematology,DATAR-LB-CT-HNC-TM,"96,460","96,460","96,460","96,460","96,460","96,460","96,460"
318,Investigations,Haematology,DATAR-LB-CT-HNC-RM,"46,190","46,190","46,190","46,190","46,190","46,190","46,190"
319,Investigations,Haematology,DATAR-LB-CT-LC-RM,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
320,Investigations,Haematology,DATAR-LB-CT-LC-TM,"104,610","104,610","104,610","104,610","104,610","104,610","104,610"
321,Investigations,Haematology,DATAR-LB-CT-LC-D,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
322,Investigations,Haematology,DATAR-LB-CT-EC-D,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
323,Investigations,Haematology,DATAR-LB-CT-EC-TM,"104,610","104,610","104,610","104,610","104,610","104,610","104,610"
324,Investigations,Haematology,DATAR-LB-CT-EC-RM,"39,690","39,690","39,690","39,690","39,690","39,690","39,690"
325,Investigations,Haematology,DATAR-LB-CT-PC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
326,Investigations,Haematology,DATAR-LB-CT-PC-TM,"104,610","104,610","104,610","104,610","104,610","104,610","104,610"
327,Investigations,Haematology,DATAR-LB-CT-ENC-TM,"104,610","104,610","104,610","104,610","104,610","104,610","104,610"
328,Investigations,Haematology,DATAR-LB-CT-ENC-RM,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
329,Investigations,Haematology,DATAR-LB-CT-ENC-D,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
330,Investigations,Haematology,DATAR-LB-CT-PC-D,"50,270","50,270","50,270","50,270","50,270","50,270","50,270"
331,Investigations,Haematology,DATAR-LB-CT-OSO-D,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
332,Investigations,Haematology,DATAR-LB-CT-OSO-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
333,Investigations,Haematology,DATAR-LB-CT-OSO-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
334,Investigations,Haematology,DATAR-LB-CT-LUC-D,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
335,Investigations,Haematology,DATAR-LB-CT-LUC-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
336,Investigations,Haematology,DATAR-LB-CT-LUC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
337,Investigations,Haematology,DATAR-LB-CT-SAC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
338,Investigations,Haematology,DATAR-LB-CT-SAC-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
339,Investigations,Haematology,DATAR-LB-CT-SAC-D,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
340,Investigations,Haematology,DATAR-LB-CT-LYC-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
341,Investigations,Haematology,DATAR-LB-CT-LYC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
342,Investigations,Haematology,DATAR-LB-CT-LEC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
343,Investigations,Haematology,DATAR-LB-CT-LEC-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
344,Investigations,Haematology,DATAR-LB-CT-LEC-D,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
345,Investigations,Haematology,DATAR-CORREKT CHEMO SENSITIVITY TEST,"43,470","43,470","43,470","43,470","43,470","43,470","43,470"
346,Investigations,Haematology,DATAR- CHIMERISM TEST,"20,250","20,250","20,250","20,250","20,250","20,250","20,250"
347,Investigations,Haematology,DATAR- FUSION SEARCH ANALYSIS (FOR LEUKEMIA),"38,040","38,040","38,040","38,040","38,040","38,040","38,040"
348,Investigations,Haematology,DATAR- MINIMAL RESIDUAL DISEASE(MRD)(RNA BASED)- SARCOMA/LEUKEMIA (EXPECT CML),"23,100","23,100","23,100","23,100","23,100","23,100","23,100"
349,Investigations,Haematology,DATAR- EXACTA,"326,040","326,040","326,040","326,040","326,040","326,040","326,040"
350,Investigations,Haematology,DATAR- COMPREHENSIVE EXACTA,"747,180","747,180","747,180","747,180","747,180","747,180","747,180"
351,Investigations,Haematology,DATAR- GERMLINE WHOLE EXOME SEQUENCING,"122,270","122,270","122,270","122,270","122,270","122,270","122,270"
352,Investigations,Haematology,DATAR- TUMOR PAIRED WHOLE EXOME SEQUENCING,"285,290","285,290","285,290","285,290","285,290","285,290","285,290"
353,Investigations,Haematology,DATAR-LB-CT-PNC-D,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
354,Investigations,Haematology,DATAR-LB-CT-PNC-TM,"118,200","118,200","118,200","118,200","118,200","118,200","118,200"
355,Investigations,Haematology,DATAR-LB-CT-PNC-RM,"57,060","57,060","57,060","57,060","57,060","57,060","57,060"
356,Investigations,Haematology,(AHLL) DPD GENE MUTATIONS(Dihydropyrimidine Dehydrogenase Gene Mutation),"18,590","18,590","18,590","18,590","18,590","18,590","18,590"
357,Investigations,Haematology,(AHLL) MULTIPLE MYELOMA PANEL BY FISH,"15,020","15,020","15,020","15,020","15,020","15,020","15,020"
358,Investigations,Haematology,"(AHLL) AML with Normal Cytogenetics (FLT3,NPM1, CEBPA)","13,990","13,990","13,990","13,990","13,990","13,990","13,990"
359,Investigations,Haematology,(AHLL) C-KIT MUTATION,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
360,Investigations,Haematology,"(AHLL) FISH, IGH/C-MYC (8 14) BURKITT LYMPHOMA","10,230","10,230","10,230","10,230","10,230","10,230","10,230"
361,Investigations,Haematology,(AHLL) Hereditary Cancer Panel-Next,"48,620","48,620","48,620","48,620","48,620","48,620","48,620"
362,Investigations,Haematology,(ONCQUEST) CLL MRD PANEL,"16,500","16,500","16,500","16,500","16,500","16,500","16,500"
363,Investigations,Haematology,(ONCQUEST) AML MRD PANEL,"16,500","16,500","16,500","16,500","16,500","16,500","16,500"
364,Investigations,Haematology,(AHLL) LIQUID BIOPSY EGFR TRUE,"20,740","20,740","20,740","20,740","20,740","20,740","20,740"
365,Investigations,Haematology,(ONCQUEST) AML COMBOQUEST 9,"18,920","18,920","18,920","18,920","18,920","18,920","18,920"
366,Investigations,Haematology,(AHLL) PNH - PAROXYSMAL NOCTURNAL HEMOGLOBINURIA PANEL,"11,370","11,370","11,370","11,370","11,370","11,370","11,370"
367,Investigations,Haematology,(AHLL) THALASSEMIA (PARENTAL MUTATION),"20,020","20,020","20,020","20,020","20,020","20,020","20,020"
368,Investigations,Haematology,(AHLL) IDH 1/2 MUTATION ANALYSIS,"12,820","12,820","12,820","12,820","12,820","12,820","12,820"
369,Investigations,Haematology,(AHLL) ALL PANEL,"15,020","15,020","15,020","15,020","15,020","15,020","15,020"
370,Investigations,Haematology,(LILAC) MICROARRAY 315K (CGH PLUS SNP),"19,800","19,800","19,800","19,800","19,800","19,800","19,800"
371,Investigations,Haematology,(LILAC) MICROARRAY 750K (CGH PLUS SNP),"28,600","28,600","28,600","28,600","28,600","28,600","28,600"
372,Investigations,Haematology,(AHLL) PLACENTAL GROWTH FACTOR (PLGF),"2,750","2,750","2,750","2,750","2,750","2,750","2,750"
373,Investigations,Haematology,(AHLL) EFTS ANEUPLOIDY AND PRE- ECLAMPSIA,"4,400","4,400","4,400","4,400","4,400","4,400","4,400"
374,Investigations,Haematology,(AHLL) CHROMOSOMAL ANALYSIS - CHORIONIC VILLI,"10,260","10,260","10,260","10,260","10,260","10,260","10,260"
375,Investigations,Haematology,(LILAC) KARYOTYPE- AMNIOTIC FLUID,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
376,Investigations,Haematology,"(AHLL) FISH, PRENATAL ANEUPLOIDY DETECTION-CVS (2 PROBES- TRISOMY 21 & 13)","4,950","4,950","4,950","4,950","4,950","4,950","4,950"
377,Investigations,Haematology,(LILAC) FISH FOR 21 AMNIOTIC FLUID,"4,950","4,950","4,950","4,950","4,950","4,950","4,950"
378,Investigations,Haematology,(LILAC) FISH 5 PROBES - CVS,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
379,Investigations,Haematology,(LILAC) FISH 5 PROBES - AMNIOTIC FLUID,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
380,Investigations,Haematology,(LILAC) QFPCR 5 PROBES - CVS,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
381,Investigations,Haematology,(LILAC) QFPCR 5 PROBES - AMNIOTIC FLUID,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
382,Investigations,Haematology,(LILAC) FISH 5 PROBES - BLOOD,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
383,Investigations,Haematology,(LILAC) FISH /QFPCR 5 PROBES - POC,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
384,Investigations,Haematology,(AHLL) 22Q 11.2 MICRODELETION - CVS,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
385,Investigations,Haematology,(LILAC) 22Q 11. 2 MICRODELETION - AMNIOTIC FLUID,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
386,Investigations,Haematology,(LILAC) MICRODELETION FISH - CVS,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
387,Investigations,Haematology,(LILAC) MICRODELETION FISH - AMNIOTIC FLUID,"7,150","7,150","7,150","7,150","7,150","7,150","7,150"
388,Investigations,Haematology,(LILAC) KT PLUS FISH 5 PROBES- CVS,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
389,Investigations,Haematology,(LILAC) KT PLUS FISH 5 PROBES- AMNIOTIC FLUID,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
390,Investigations,Haematology,(LILAC) KT PLUS FISH PLUS 22Q11.2 - CVS,"17,600","17,600","17,600","17,600","17,600","17,600","17,600"
391,Investigations,Haematology,(LILAC) KT PLUS FISH PLUS 22Q11.2 - AMNIOTIC FLUID,"17,600","17,600","17,600","17,600","17,600","17,600","17,600"
392,Investigations,Haematology,(LILAC) KT PLUS QFPCR 5 PROBES - CVS,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
393,Investigations,Haematology,(LILAC) KT PLUS QFPCR 5 PROBES - AMNIOTIC FLUID,"14,300","14,300","14,300","14,300","14,300","14,300","14,300"
394,Investigations,Haematology,(LILAC) KT PLUS QFPCR PLUS 22Q11.2 - CVS,"17,600","17,600","17,600","17,600","17,600","17,600","17,600"
395,Investigations,Haematology,(LILAC) KT PLUS QFPCR PLUS 22Q11.2 - AMNIOTIC FLUID,"17,600","17,600","17,600","17,600","17,600","17,600","17,600"
396,Investigations,Haematology,(LILAC) KT PLUS PRENATAL BOBS - AMNIOTIC FLUID,"18,700","18,700","18,700","18,700","18,700","18,700","18,700"
397,Investigations,Haematology,(LILAC) MOLECULAR KARYOTYPE - CVS,"13,200","13,200","13,200","13,200","13,200","13,200","13,200"
