Sl. No.,Service Type,Department,Service Name,OPD Tariff
750,Investigations,Transplantation immunology,ANTI MuSK ANTIBODIES SERUM,"15,020"
751,Investigations,Transplantation immunology,COMPREHENSIVE ALLERGY PANEL,"12,960"
752,Investigations,Transplantation immunology,SKIN PRICK TESTING,"2,450"
753,Investigations,Transplantation immunology,(AHLL) BETA-2- GLYCOPROTEIN -1 IGG,"1,570"
754,Investigations,Transplantation immunology,(AHLL) BETA-2- GLYCOPROTEIN -1 IGM,"1,570"
755,Investigations,Transplantation immunology,STACHYBOTRYS ATRA IGG,"1,160"
756,Investigations,Transplantation immunology,MICROPOLYSPORA FAENI IGG,"1,160"
757,Investigations,Transplantation immunology,THERMOACTINOMYCES VULGARIS IGG,"1,160"
758,Investigations,Transplantation immunology,PLA2R IGG (ELISA),"4,070"
759,Investigations,Transplantation immunology,DNA EXTRACTION AND STORAGE,880
760,Investigations,Transplantation immunology,SPECIFIC IgE OMEGA -5- GLIADIN (RECOMBINANT WHEAT),970
761,Investigations,Transplantation immunology,ASCA IgG AND IgA (PHADIA),"4,760"
762,Investigations,Transplantation immunology,F3 ImmunoCAP Allergen Fish (cod),880
763,Investigations,Transplantation immunology,F27 ImmunoCAP Allergen Beef,880
764,Investigations,Transplantation immunology,F2 ImmunoCAP Allergen Milk,880
765,Investigations,Transplantation immunology,F13 ImmunoCAP Allergen Peanut,880
766,Investigations,Transplantation immunology,F36 ImmunoCAP Allergen Coconut,880
767,Investigations,Transplantation immunology,F35 ImmunoCAP Allergen Potato,880
768,Investigations,Transplantation immunology,F245 ImmunoCAP Allergen Egg,880
769,Investigations,Transplantation immunology,F8 ImmunoCAP Allergen Maize-Corn,880
770,Investigations,Transplantation immunology,F9 ImmunoCAP Allergen Maize Rice,880
771,Investigations,Transplantation immunology,F88 ImmunoCAP Allergen Mutton,880
772,Investigations,Transplantation immunology,F24 ImmunoCAP Allergen Shrimp,880
773,Investigations,Transplantation immunology,F4 ImmunoCAP Allergen Wheat,880
774,Investigations,Transplantation immunology,1206 ImmunoCAP Allergen Cockroach- American,880
775,Investigations,Transplantation immunology,E5 ImmunoCAP Allergen Dog dander,880
776,Investigations,Transplantation immunology,D1 ImmunoCAP Allergen Dermatophagoides pteronyssinus,880
777,Investigations,Transplantation immunology,D2 ImmunoCAP Allergen Dermatophagoides farinee,880
778,Investigations,Transplantation immunology,E1 ImmunoCAP Allergen Cat epithelium and dander,880
779,Investigations,Transplantation immunology,G2 ImmunoCAP Allergen Bermuda grass,880
780,Investigations,Transplantation immunology,G10 ImmunoCAP Allergen Johnson grass,880
781,Investigations,Transplantation immunology,e215 ImmunoCAP Pigeon feathers,880
782,Investigations,Transplantation immunology,m3 ImmunoCAP Allergen Aspergillus fumigatus,880
783,Investigations,Transplantation immunology,W1 ImmunoCAP Allergen Common ragweed,880
784,Investigations,Transplantation immunology,C5 ImmunoCAP Allergen Ampicilloyl,"1,050"
785,Investigations,Transplantation immunology,C6 ImmunoCAP Allergen Amoxicillioyl,"1,050"
786,Investigations,Transplantation immunology,C1 ImmunoCAP Allergen Penicilloyl G,"1,050"
787,Investigations,Transplantation immunology,C2 ImmunoCAP Allergen Penicilloyl V,"1,050"
788,Investigations,Transplantation immunology,C261 ImmunoCAP Allergen Pholcodine,"1,050"
789,Investigations,Transplantation immunology,C202 ImmunoCAP Allergen Suxamethonium,"1,050"
790,Investigations,Transplantation immunology,C260 ImmunoCAP Allergen Quaternary Ammonium-Morphine,"1,050"
791,Investigations,Transplantation immunology,C73 ImmunoCAP Allergen Insulin human,"1,050"
792,Investigations,Transplantation immunology,C8 ImmunoCAP Allergen Chlorhexidine,"1,050"
793,Investigations,Transplantation immunology,K82 ImmunoCAP Allergen Latex,"1,050"
794,Investigations,Transplantation immunology,i208 rApi m 1 Phospholiphase A2 Honey bee,"1,050"
795,Investigations,Transplantation immunology,i3 ImmunoCAP Allergen Common wasp,"1,050"
796,Investigations,Transplantation immunology,l5 ImmunoCAP Allergen Yellow hornet,"1,050"
797,Investigations,Transplantation immunology,l1 ImmunoCAP Allergen Honey bee,"1,050"
798,Investigations,Transplantation immunology,T AND B CELL HLA CDC CROSSMATCH (RENAL TRANSPLANT),"10,070"
799,Investigations,Transplantation immunology,T AND B CELL HLA CDC CROSSMATCH (RENAL TRANSPLANT) - DONOR,-
800,Investigations,Transplantation immunology,DRUG ALLERGY TEST - INTRA DERMAL METHODE (PER SITTING),"3,470"
801,Investigations,Transplantation immunology,ORAL FOOD CHALLENGE TEST,"4,070"
802,Investigations,Transplantation immunology,HLA B PROFILE INCLUDING B-27 (4D),"4,510"
803,Investigations,Transplantation immunology,HLA - A B C DR DQ (4D),"23,100"
804,Investigations,Transplantation immunology,HLA ASSOCIATION OF COELIAC DISEASE,"9,240"
805,Investigations,Transplantation immunology,AUTOLOGOUS SERUM SKIN TEST,"2,920"
806,Investigations,Transplantation immunology,POLYETHYLENE GLYCOL (PEG),"1,320"
807,Investigations,Transplantation immunology,ANTI HLA ANTIBODY (SINGLE ANTIGEN) CLASS I,"24,200"
808,Investigations,Transplantation immunology,ANTI HLA ANTIBODY (SINGLE ANTIGEN) CLASS II,"24,200"
809,Investigations,Histopathology,ER / PR STUDY,"5,560"
810,Investigations,Histopathology,IHC ONE ANTIGEN (HISTO),"3,030"
811,Investigations,Histopathology,FROZEN SECTION WITH PARAFFIN FOLLOW UP,"7,700"
812,Investigations,Histopathology,LIVER BIOPSY,"1,570"
813,Investigations,Histopathology,IHC - PACKAGE - 1 (5 TO 8 ANTIGENS),"12,960"
814,Investigations,Histopathology,FNAC / FNAB,"2,310"
815,Investigations,Histopathology,SKIN BIOPSY-IF ONLY,"6,380"
816,Investigations,Histopathology,HISTOPATHOLOGY SLIDE FOR OPINION,"2,310"
817,Investigations,Histopathology,CSF FOR CYTOLOGY,"1,160"
818,Investigations,Histopathology,FLUID FOR CYTOLOGY(FLUID FOR MALIGNANT CELLS,"1,160"
819,Investigations,Histopathology,FNAC STAINED SLIDE FOR OPINION,"2,310"
820,Investigations,Histopathology,FNAC UNSTAINED SLIDE FOR OPINION,"2,310"
821,Investigations,Histopathology,PAP SMEAR /CERVICAL SMEAR,"1,160"
822,Investigations,Histopathology,SLIDE FOR OPINION(NON-GYNAEC),"2,310"
823,Investigations,Histopathology,HISTOPATHOLOGY TEST [LARGE],"4,950"
824,Investigations,Histopathology,SPUTUM FOR CYTOLOGY,660
825,Investigations,Histopathology,TZANCK SMEAR,"1,160"
826,Investigations,Histopathology,HISTOPATHOLOGY TEST [MEDIUM],"3,850"
827,Investigations,Histopathology,HISTOPATHOLOGY TEST [SMALL],"2,860"
828,Investigations,Histopathology,NEEDLE BIOPSY KIDNEY,"2,920"
829,Investigations,Histopathology,KIDNEY BIOPSY IF ONLY,"6,380"
830,Investigations,Histopathology,PAP SMEAR EXAMINATION (ONLY FOR FEMALE),880
831,Investigations,Histopathology,CYTOLOGY SYNOVIAL FLUID FOR CRYSTALS,"1,160"
832,Investigations,Histopathology,ERPR HER 2 NEU and KI-67,"10,650"
833,Investigations,Histopathology,HISTOPATHOLOGY TEST (EXTRA LARGE),"7,150"
834,Investigations,Histopathology,SLIDE AND BLOCK FOR OPINION,"3,850"
835,Investigations,Histopathology,CT/USG GUIDED FNAC(CYTOLOGY),990
836,Investigations,Histopathology,IMMUNOHISTOCHEMISTRY / PER SLIDE,"2,780"
837,Investigations,Histopathology,PAS [PERIODIC ACID SCHIFF] STAIN,"1,820"
838,Investigations,Histopathology,STAIN FOR PNEUMOCYSTIS JIROVECII,"1,160"
839,Investigations,Histopathology,WET MOUNT FOR HYDATID SCOLEX,"1,160"
840,Investigations,Histopathology,NRAS MUTATION ANALYSIS (EXONS 2 3 4),"13,420"
841,Investigations,Histopathology,HAEMOSIDERIN LADEN MACROPHGES,"1,160"
842,Investigations,Histopathology,BRAF MUTATION,"9,490"
843,Investigations,Histopathology,BODY FLUID FOR PH,660
844,Investigations,Histopathology,EXTENDED IHC PACKAGE (12 ANTIGEN),"19,420"
845,Investigations,Histopathology,PD - L1 (IHC),"9,020"
846,Investigations,Histopathology,HISTOPATHOLOGY EXAMINATION (RADICAL PROSTECTOMY),"5,780"
847,Investigations,Histopathology,ALK (D5F3),"12,710"
848,Investigations,Histopathology,SKIN BIOPSY - I.F.,"9,240"
849,Investigations,Histopathology,KIDNEY BIOPSY - I.F.,"8,090"
850,Investigations,Histopathology,CANASSIST BREAST,"90,090"
851,Investigations,Histopathology,PROSTATE NEEDLE BIOPSY (PACKAGE),"12,100"
852,Investigations,Histopathology,PROSTATE BIOPSY (TURP PACKAGE),"13,200"
853,Investigations,Histopathology,HISTOPATHOLOGY EXAMINATION (RADICAL PROSTATECTOMY PACKAGE),"17,050"
854,Investigations,Blood Bank - 2 Services,COLD AGGLUTININS,830
855,Investigations,Blood Bank - 2 Services,BLOOD GROUPING AND TYPING (ABO AND RH),640
856,Investigations,Blood Bank - 2 Services,DIRECT COOMBS TEST,830
857,Investigations,Blood Bank - 2 Services,RH AND KELL TYPING,880
858,Investigations,Blood Bank - 2 Services,INDIRECT COOMBS TEST,720
859,Investigations,Blood Bank - 2 Services,ANTIBODY SCREEN AND IDENTIFICATION,"1,630"
860,Investigations,Blood Bank - 2 Services,ANTIBODY SCREENING,830
861,Investigations,Blood Bank - 2 Services,ANTIBODY TITRE,830
862,Investigations,Blood Bank - 2 Services,EXTENDED COOMBS TEST,"1,300"
863,Investigations,Blood Bank - 2 Services,EXTENDED RED CELL ANTIGEN PHENOTYPE,"2,560"
864,Investigations,Blood Bank - 2 Services,HEPARIN INDUCED THROMBOCYTOPENIA (HIT SCREENING),"2,090"
865,Investigations,Blood Bank - 2 Services,PROXYSMAL NOCTURNAL HEMOGLOBINURIA (PNH SCREENING),"1,300"
866,Investigations,Blood Bank - 2 Services,SAMPLE RECEIVED CHARGES,420
867,Investigations,Blood Bank - 2 Services,RH-ANTIBODY TITRE,"1,130"
868,Investigations,Blood Bank - 2 Services,HBsAg (DONOR),-
869,Investigations,Blood Bank - 2 Services,ANTI HIV (DONOR),-
870,Investigations,Blood Bank - 2 Services,ANTI HCV (DONOR),-
871,Investigations,Blood Bank - 2 Services,MALARIA(DONOR),-
872,Investigations,Blood Bank - 2 Services,aHBC (DONOR),-
873,Investigations,Blood Bank - 2 Services,SAMPLE COLLECTION CHARGES,610
874,Investigations,Emergency Medical Services,TROPONIN T,"3,190"
875,Investigations,Emergency Medical Services,PT (PROTHROMBIN TIME) (POCT - ER),"1,160"
876,Investigations,Emergency Medical Services,INR (INTERNATIONAL NORMALIZED RATIO) (POCT - ER),"1,160"
877,Investigations,Emergency Medical Services,PLATELET COUNT (POCT - ER),"1,760"
878,Investigations,CARDIOLOGY,ECHO SCREENING,"2,560"
879,Investigations,CARDIOLOGY,ECG,530
880,Investigations,CARDIOLOGY,DOBUTAMINE STRESS ECHO,"7,070"
881,Investigations,CARDIOLOGY,HOLTER MONITOR,"5,230"
882,Investigations,CARDIOLOGY,TILT TABLE TEST,"4,510"
883,Investigations,CARDIOLOGY,ECHO TRANSESOPHAGEAL,"5,230"
884,Investigations,CARDIOLOGY,TREADMILL TEST / STRESS TEST,"2,670"
885,Investigations,CARDIOLOGY,2D ECHOCARDIOGRAPHY WITH COLOUR DOPPLER STUDY,"3,610"
886,Investigations,CARDIOLOGY,2D ECHOCARDIOGRAPHY,"2,920"
887,Investigations,CARDIOLOGY,E.C.G WITH CAROTID MASSAGE,470
888,Investigations,CARDIOLOGY,ECG-PACEMAKER,470
889,Investigations,CARDIOLOGY,ECHOCARDIOGRAPHY(CALCUTTA RECUE/PULMO-CARE),"2,090"
890,Investigations,CARDIOLOGY,PAED ECHO SCREENING,"1,520"
891,Investigations,CARDIOLOGY,PAEDIATRIC ECHO SCREENING (DD),"1,870"
892,Investigations,CARDIOLOGY,PAEDIATRIC ECHO CARDIOGRAPHY (DD),"4,290"
893,Investigations,CARDIOLOGY,PAEDIATRIC ECG (DD),660
894,Investigations,CARDIOLOGY,24-HOUR AMBULATORY BLOOD PRESSURE MONITORING,"4,950"
895,Investigations,C T Scan Radiology,CT SCAN ORBITS (EYE),"7,180"
896,Investigations,C T Scan Radiology,CT SCAN LOWER ABDOMEN/PELVIS,"6,820"
897,Investigations,C T Scan Radiology,CT SCAN - CERVICAL SPINE,"7,180"
898,Investigations,C T Scan Radiology,CT SCAN - LUMBAR SPINE,"7,180"
899,Investigations,C T Scan Radiology,CT SCAN OF PARA NASAL SINUSES,"4,980"
900,Investigations,C T Scan Radiology,CT SCAN BRAIN,"3,360"
901,Investigations,C T Scan Radiology,CT SCAN TEMPORAL BONES,"7,180"
902,Investigations,C T Scan Radiology,CT PULMONARY ANGIOGRAPHY,"16,170"
903,Investigations,C T Scan Radiology,CT SCAN - DORSAL SPINE,"7,650"
904,Investigations,C T Scan Radiology,CT SCAN 3D FACE,"6,030"
905,Investigations,C T Scan Radiology,CT SCAN CHEST,"7,540"
906,Investigations,C T Scan Radiology,CT SCAN KUB,"11,550"
907,Investigations,C T Scan Radiology,CT SCAN LUMBAR SPINE WITH SACROILIAC JOINTS,"9,350"
908,Investigations,C T Scan Radiology,CT SCAN MYELOGRAM,"7,650"
909,Investigations,C T Scan Radiology,CT SCAN NECK,"7,180"
910,Investigations,C T Scan Radiology,CT SCAN PERIPHERAL ANGIOGRAPHY,"16,170"
911,Investigations,C T Scan Radiology,CT SCAN RENAL ANGIOGRAPHY,"16,170"
912,Investigations,C T Scan Radiology,CT SCAN UPPER ABDOMEN,"6,820"
913,Investigations,C T Scan Radiology,CT SCAN WHOLE ABDOMEN,"12,710"
914,Investigations,C T Scan Radiology,CT SCAN HIP JOINTS,"7,180"
915,Investigations,C T Scan Radiology,DEXA SCAN,"7,100"
916,Investigations,C T Scan Radiology,CT SCAN SCREENING,"3,250"
917,Investigations,C T Scan Radiology,CT SCAN SPINE CV JUNCTION,"6,800"
918,Investigations,C T Scan Radiology,CT CALCIUM SCORING,"6,030"
919,Investigations,C T Scan Radiology,CT VIRTUAL BRONCHOSCOPY,"8,560"
920,Investigations,C T Scan Radiology,CT VIRTUAL COLONOSCOPY,"8,090"
921,Investigations,C T Scan Radiology,CT JOIN SINGLE,"6,800"
922,Investigations,C T Scan Radiology,CT CARDIAC ANGIO,"12,710"
923,Investigations,C T Scan Radiology,CT CARDIAC ANGIO WITH SPECIAL CONTRAST,"13,860"
924,Investigations,C T Scan Radiology,CT ANGIOGRAPHY,"10,760"
925,Investigations,C T Scan Radiology,CT PAROTID SIALOGRAPHY,"16,170"
926,Investigations,C T Scan Radiology,CT SPLENO PORTO VENOGRAM,"7,260"
927,Investigations,C T Scan Radiology,CT VIRTUAL ENDOSCOPY,"8,090"
928,Investigations,C T Scan Radiology,CT BASE OF SKULL,"3,250"
929,Investigations,C T Scan Radiology,CT CD,470
930,Investigations,C T Scan Radiology,CT CISTERNOGRAPHY,"6,250"
931,Investigations,C T Scan Radiology,CT DENSITOMETRY,"4,240"
932,Investigations,C T Scan Radiology,CT EXTREMITY (BILATERAL),"12,490"
933,Investigations,C T Scan Radiology,CT EXTREMITY (UNILATERAL),"7,180"
934,Investigations,C T Scan Radiology,CT FOLLOW-UP,"1,710"
935,Investigations,C T Scan Radiology,CT LOWER THORAX,"4,070"
936,Investigations,C T Scan Radiology,CT LUMBO SACRAL SPINE,"7,180"
937,Investigations,C T Scan Radiology,CT ONE REGION,"4,870"
938,Investigations,C T Scan Radiology,CT PITUITARY / SELLA,"6,800"
939,Investigations,C T Scan Radiology,CT RECONSTRUCTION,"2,670"
940,Investigations,C T Scan Radiology,CT SACRO ILIAC JOINTS,"6,800"
941,Investigations,C T Scan Radiology,CT SACRUM AND COCCYX,"7,180"
942,Investigations,C T Scan Radiology,CT SCAN FILM (PER FILM),470
943,Investigations,C T Scan Radiology,CT TRANSPLANT KIDNEY,"6,800"
944,Investigations,C T Scan Radiology,FNAC DONE WITH CT,"1,130"
945,Investigations,C T Scan Radiology,IONIC CONTRAST (20CC.),280
946,Investigations,C T Scan Radiology,IONIC CONTRAST (50CC.),720
947,Investigations,C T Scan Radiology,NON IONIC CONTRAST (100 CC),"2,260"
948,Investigations,C T Scan Radiology,NON IONIC CONTRAST (25CC.),940
949,Investigations,C T Scan Radiology,NONIONIC CONTRAST (10 CC),720
950,Investigations,C T Scan Radiology,NONIONIC CONTRAST (50 CC.),"1,210"
951,Investigations,C T Scan Radiology,ANAESTHETIC CHARGE FOR CT (DR T DAS AND TEAM),"2,560"
952,Investigations,C T Scan Radiology,ANAESTHETIC CHARGE FOR CT (DR.AGHL),"2,560"
953,Investigations,C T Scan Radiology,CT ENTEROCLYSIS,"12,710"
954,Investigations,C T Scan Radiology,CT ENTEROGRAPHY,"12,160"
955,Investigations,C T Scan Radiology,CT AORTOGRAM,"17,330"
956,Investigations,C T Scan Radiology,CT ANGIOGRAPHY OF AORTA FOR TAVI/TAVR,"20,790"
957,Investigations,C T Scan Radiology,LOW DOSE HRCT CHEST,"5,230"
958,Investigations,Pet CT,CT 128 CARDIAC ANGIO,"12,710"
959,Investigations,Pet CT,PET CT BODY/OTHERS-WITH CONTRAST,"26,570"
960,Investigations,Pet CT,CT128 CARDIAC ANGIO WITH SPECIAL CONTRAST,"14,580"
961,Investigations,Pet CT,PET CT BODY/OTHERS-WITHOUT CONTRAST,"24,260"
962,Investigations,Pet CT,PET CT REGIONAL-WITHOUT CONTRAST,"20,680"
963,Investigations,Pet CT,PET CT BRAIN/REGIONAL-WITHOUT CONTRAST,"20,680"
964,Investigations,Pet CT,PET CT BRAIN/REGIONAL-WITH CONTRAST,"23,100"
965,Investigations,MRI Radiology,MRI ANKLE,"12,710"
966,Investigations,MRI Radiology,MRI BRAIN,"13,310"
967,Investigations,MRI Radiology,MRI CHEST,"12,020"
968,Investigations,MRI Radiology,MRI NASOPHARYNX,"11,440"
969,Investigations,MRI Radiology,MRI ORBITS,"12,710"
970,Investigations,MRI Radiology,MRI SHOULDER (BOTH JOINTS),"12,130"
971,Investigations,MRI Radiology,MRI BOTH HIP JOINTS,"17,800"
972,Investigations,MRI Radiology,10ML CONTRAST (MRI),"3,080"
973,Investigations,MRI Radiology,MRI NECK,"12,020"
974,Investigations,MRI Radiology,MRI CERVICAL SPINE,"13,310"
975,Investigations,MRI Radiology,MRI-TEMPORAL LOBES,"12,160"
976,Investigations,MRI Radiology,MRI UPPER ABDOMEN,"12,020"
977,Investigations,MRI Radiology,MRI MRCP,"8,560"
978,Investigations,MRI Radiology,MRI DORSAL SPINE,"12,020"
979,Investigations,MRI Radiology,MRI WHOLE ABDOMEN,"17,000"
980,Investigations,MRI Radiology,MRI SKULL BASE,"11,440"
981,Investigations,MRI Radiology,MRI BRAIN WITH SPECTROSCOPY,"12,710"
982,Investigations,MRI Radiology,MRI BRACHIAL PLEXUS,"12,710"
983,Investigations,MRI Radiology,MRI BRAIN WITH MR ANGIO AND MR VENOGRAM (INTRACRANIAL),"16,120"
984,Investigations,MRI Radiology,MRI BRAIN WITH PITUITARY GLAND,"12,020"
985,Investigations,MRI Radiology,MRI ELBOW JOINTS (BOTH),"12,130"
986,Investigations,MRI Radiology,MRI ADRENAL GLAND,"11,440"
987,Investigations,MRI Radiology,MRI FOOT WITH ANKLE (LEFT),"13,070"
988,Investigations,MRI Radiology,MRI FOOT WITH ANKLE (RIGHT),"13,070"
989,Investigations,MRI Radiology,MRI FOREARMS (BOTH),"12,160"
990,Investigations,MRI Radiology,MRI LEGS (BOTH),"12,160"
991,Investigations,MRI Radiology,MRI LOWER ABDOMEN,"13,310"
992,Investigations,MRI Radiology,MRI LUMBAR SPINE WITH SACROILIAC JOINTS,"12,020"
993,Investigations,MRI Radiology,MRI THIGHS (BOTH),"12,160"
994,Investigations,MRI Radiology,MRI LUMBO-SACRAL SPINE,"13,310"
995,Investigations,MRI Radiology,MRI WRIST,"12,710"
996,Investigations,MRI Radiology,MRI KNEE JOINT,"12,020"
997,Investigations,MRI Radiology,MRI SPECTROSCOPY,"6,800"
998,Investigations,MRI Radiology,ANAESTHESIA FOR MRI,"2,560"
999,Investigations,MRI Radiology,MRI THORACIC OUTLET,"11,440"
1000,Investigations,MRI Radiology,MRI BREAST,"12,020"
1001,Investigations,MRI Radiology,MRI VENOGRAPHY,"17,580"
1002,Investigations,MRI Radiology,MRI CONTRAST ONLY,"5,640"
1003,Investigations,MRI Radiology,MRI FACE / ORAL CAVITY,"12,710"
1004,Investigations,MRI Radiology,CARDIAC MRI,"18,480"
1005,Investigations,MRI Radiology,MRI BRAIN WITH MR ANGIOGRAPHY,"17,820"
1006,Investigations,MRI Radiology,MR ANGIOGRAPHY,"17,580"
1007,Investigations,MRI Radiology,MR ANGIOGRAPHY OF NECK VESSEL,"13,700"
1008,Investigations,MRI Radiology,MRCP SCREENING,"7,540"
1009,Investigations,MRI Radiology,MRI BRAIN WITH MRA BRAIN AND NECK,"20,350"
1010,Investigations,MRI Radiology,MRI EXTREMITY,"13,310"
1011,Investigations,MRI Radiology,MRI FOOT,"12,710"
1012,Investigations,MRI Radiology,MRI HIP AND THIGH,"16,940"
1013,Investigations,MRI Radiology,MRI SACRO COCCYGEAL REGION,"11,440"
1014,Investigations,MRI Radiology,MRI HIP UNILATERAL,"12,710"
1015,Investigations,MRI Radiology,MRI ONE REGION,"9,680"
1016,Investigations,MRI Radiology,MRI PHARYNX,"11,880"
1017,Investigations,MRI Radiology,MRI SCREENING,"6,930"
1018,Investigations,MRI Radiology,MRI SMALL PART,"10,180"
1019,Investigations,MRI Radiology,MRI UPPER ABD WITH MRCP,"12,130"
1020,Investigations,MRI Radiology,MRI UPPER THIGH AND LOWER ABDOMEN,"16,170"
1021,Investigations,MRI Radiology,MRI UROGRAM,"12,020"
1022,Investigations,MRI Radiology,ANAESTHETIC CHARGE FOR MRI (DR.AGHL),"2,560"
1023,Investigations,MRI Radiology,ANAESTHETIC CHARGE FOR MRI (DR T DAS AND TEAM),"2,560"
1024,Investigations,MRI Radiology,MR AORTOGRAM,"17,330"
1025,Investigations,MRI Radiology,MRI ENTEROCLYSIS,"12,710"
1026,Investigations,MRI Radiology,MRI ENTEROGRAPHY,"12,160"
1027,Investigations,MRI Radiology,MRI 3T BRAIN,"12,020"
1028,Investigations,MRI Radiology,MRI 3T ORBITS,"12,710"
1029,Investigations,MRI Radiology,MRI 3T CHEST,"12,020"
1030,Investigations,MRI Radiology,MRI 3T NASOPHARYNX,"12,020"
1031,Investigations,MRI Radiology,MRI 3T CERVICAL SPINE,"12,020"
1032,Investigations,MRI Radiology,MRI 3T SHOULDER (BOTH JOINTS),"12,710"
1033,Investigations,MRI Radiology,MRI 3T ANKLE,"12,740"
1034,Investigations,MRI Radiology,MRI 3T BOTH HIP JOINTS,"17,550"
1035,Investigations,MRI Radiology,10ML CONTRAST (MRI 3T),"3,660"
1036,Investigations,MRI Radiology,MRI 3T DORSAL SPINE,"12,020"
1037,Investigations,MRI Radiology,MRI 3T NECK,"12,020"
1038,Investigations,MRI Radiology,MRI 3T TEMPORAL LOBES,"12,740"
1039,Investigations,MRI Radiology,MRI 3T UPPER ABDOMEN,"12,020"
1040,Investigations,MRI Radiology,MRI 3T SKULL BASE,"12,020"
1041,Investigations,MRI Radiology,MRI 3T MRCP AND UPPER ABDOMEN,"8,690"
1042,Investigations,MRI Radiology,MRI 3T BRAIN WITH SPECTROSCOPY,"13,260"
1043,Investigations,MRI Radiology,MRI 3T BRACHIAL PLEXUS,"12,740"
1044,Investigations,MRI Radiology,MRI 3T ENTEROGRAPHY,"12,160"
1045,Investigations,MRI Radiology,MRI 3T WHOLE ABDOMEN,"16,720"
1046,Investigations,MRI Radiology,MRI 3T ENTEROCLYSIS,"12,710"
1047,Investigations,MRI Radiology,MRI 3T UROGRAM,"12,020"
1048,Investigations,MRI Radiology,MRI 3T BRAIN WITH MR ANGIO AND MR VENOGRAM(INTRACRANIAL),"16,700"
1049,Investigations,MRI Radiology,MRI 3T UPPER THIGH AND LOWER ABDOMEN,"16,720"
1050,Investigations,MRI Radiology,MRI 3T LUMBO SACRAL SPINE,"12,020"
1051,Investigations,MRI Radiology,MRI 3T BRAIN WITH PITUITARY GLAND,"12,020"
1052,Investigations,MRI Radiology,MRI 3T UPPER ABD WITH MRCP,"12,710"
1053,Investigations,MRI Radiology,MRI 3T SMALL PART,"10,780"
1054,Investigations,MRI Radiology,MRI 3T ELBOW JOINTS(BOTH),"12,710"
1055,Investigations,MRI Radiology,MRI 3T FOOT WITH ANKLE(LEFT),"13,640"
1056,Investigations,MRI Radiology,MRI 3T ADRENAL GLAND,"12,020"
1057,Investigations,MRI Radiology,MRI 3T BREAST,"12,020"
1058,Investigations,MRI Radiology,MRI 3T LUMBAR SPINE WITH SACROILIAC JOINTS,"12,020"
1059,Investigations,MRI Radiology,MRI 3T SPECTROSCOPY,"7,370"
1060,Investigations,MRI Radiology,MRI 3T THORACIC OUTLET,"12,020"
1061,Investigations,MRI Radiology,MRI 3T SCREENING,"7,370"
1062,Investigations,MRI Radiology,MRI 3T SACRO COCCYGEAL REGION,"12,020"
1063,Investigations,MRI Radiology,MRI 3T PHARYNX,"12,460"
1064,Investigations,MRI Radiology,MRI 3T LEGS(BOTH),"12,740"
1065,Investigations,MRI Radiology,MRI 3T VENOGRAPHY,"17,330"
1066,Investigations,MRI Radiology,MRI 3T LOWER ABDOMEN,"12,020"
1067,Investigations,MRI Radiology,MRI 3T WRIST,"12,710"
1068,Investigations,MRI Radiology,MRI 3T KNEE JOINT,"12,020"
1069,Investigations,MRI Radiology,MRI 3T FACE/ORAL CAVITY,"12,710"
1070,Investigations,MRI Radiology,ANAESTHESIA FOR MRI 3T,"3,140"
1071,Investigations,MRI Radiology,MRI 3T FOOT WITH ANKLE(RIGHT),"13,640"
1072,Investigations,MRI Radiology,MRI 3T CONTRAST ONLY,"6,220"
1073,Investigations,MRI Radiology,MRI 3T THIGHS(BOTH),"12,740"
1074,Investigations,MRI Radiology,CARDIAC MRI 3T,"19,090"
1075,Investigations,MRI Radiology,MRI 3T ONE REGION,"10,260"
1076,Investigations,MRI Radiology,MRI 3T FOREARMS (BOTH),"12,740"
1077,Investigations,MRI Radiology,MRI 3T BRAIN WITH MR ANGIOGRAPHY,"18,400"
1078,Investigations,MRI Radiology,MRI 3T BRAIN WITH MRA BRAIN AND NECK,"20,930"
1079,Investigations,MRI Radiology,MRI 3T EXTREMITY,"12,710"
1080,Investigations,MRI Radiology,MRI 3T FOOT,"12,740"
1081,Investigations,MRI Radiology,MRI 3T HIP AND THIGH,"17,550"
1082,Investigations,MRI Radiology,MRI 3T HIP UNILATERAL,"12,740"
1083,Investigations,MRI Radiology,MRI ANKYLOSING SPONDYLITIS SCREENING,"15,020"
1084,Investigations,MRI Radiology,MRI PDFF,"3,470"
1085,Investigations,MRI Radiology,MRI LIVER ELASTROGRAPHY,"5,500"
1086,Investigations,MRI Radiology,MRI LIVER-FAT ESTIMATION WITH MRE,"7,700"
1087,Investigations,Ultrasound Radiology,ULTRASOUND - LOWER ABDOMEN (PELVIS),"2,090"
1088,Investigations,Ultrasound Radiology,ULTRASOUND - WHOLE ABDOMEN,"2,920"
1089,Investigations,Ultrasound Radiology,ULTRASOUND - UPPER ABDOMEN,"2,090"
1090,Investigations,Ultrasound Radiology,ULTRASOUND OF CHEST,"1,870"
1091,Investigations,Ultrasound Radiology,ULTRASOUND - FOLLICULAR STUDY,"3,140"
1092,Investigations,Ultrasound Radiology,ULTRASOUND TRANSPLANT KIDNEY,"2,560"
1093,Investigations,Ultrasound Radiology,ULTRASOUND KUB,"2,090"
1094,Investigations,Ultrasound Radiology,ULTRASOUND SCREENING UPPER ABDOMEN,"1,680"
