Sl. No.,Service Type,Department,Service Name,OPD Tariff
291,Investigations,Haematology,Sapien - Datar CTC Detection With Photograph,"22,830"
292,Investigations,Haematology,Sapien - Datar Circulating Endothelial Cells Detection,"21,180"
293,Investigations,Haematology,Sapien - Strand Somatic Cancer - Comprehensive Add - on,"28,160"
294,Investigations,Haematology,(AHLL) PANCREATITIS PANEL WITH GENES PRESS1 SPINK1 CFTR CTRC - DABUR,"214,500"
295,Investigations,Haematology,BRCA 1 AND 2 GENETIC TEST - SRL,"28,600"
296,Investigations,Haematology,(AHLL) HFE gene mutations,"10,120"
297,Investigations,Haematology,"(AHLL) HLA -A,B,C DRB1,DQBI","28,600"
298,Investigations,Haematology,"(AHLL) MPN Panel 1 (BCR/ABL QTY, JAK2V617F, CALR)","19,530"
299,Investigations,Haematology,(AHLL) DNA-CYSTIC FIBROSIS (DELTA F508 MUTATION),"24,310"
300,Investigations,Haematology,"(AHLL) FISH, PRENATAL ANEUPLOIDY DETECTION-AMNIOTIC FLUID (3 PROBES- TRISOMY 18, X, Y)","8,580"
301,Investigations,Haematology,"(AHLL) CHROMOSOME ANALYSIS, BLOOD","17,160"
302,Investigations,Haematology,(LILAC) NIFTY - BGI,"45,760"
303,Investigations,Haematology,(AHLL) NIPT - NON INVASIVE PRENATAL TESTING,"45,760"
304,Investigations,Haematology,DATAR-LB-CT-OC-RM,"46,190"
305,Investigations,Haematology,DATAR-LB-CT-BC-RM,"43,470"
306,Investigations,Haematology,DATAR-LB-CT-BC-D,"43,470"
307,Investigations,Haematology,DATAR-LB-CT-BC-TM,"96,450"
308,Investigations,Haematology,DATAR-LB-CT-CC-RM,"46,190"
309,Investigations,Haematology,DATAR-LB-CT-CC-TM,"96,460"
310,Investigations,Haematology,DATAR-LB-CT-CC-D,"46,190"
311,Investigations,Haematology,DATAR-LB-CT-OC-D,"43,470"
312,Investigations,Haematology,DATAR-LB-CT-OC-TM,"96,450"
313,Investigations,Haematology,DATAR-LB-CT-CEC-RM,"46,190"
314,Investigations,Haematology,DATAR-LB-CT-CEC-TM,"96,460"
315,Investigations,Haematology,DATAR-LB-CT-CEC-D,"46,190"
316,Investigations,Haematology,DATAR-LB-CT-LC-RM,"50,270"
317,Investigations,Haematology,DATAR-LB-CT-HNC-D,"46,190"
318,Investigations,Haematology,DATAR-LB-CT-HNC-TM,"96,460"
319,Investigations,Haematology,DATAR-LB-CT-HNC-RM,"46,190"
320,Investigations,Haematology,DATAR-LB-CT-LC-D,"50,270"
321,Investigations,Haematology,DATAR-LB-CT-EC-D,"50,270"
322,Investigations,Haematology,DATAR-LB-CT-EC-TM,"104,610"
323,Investigations,Haematology,DATAR-LB-CT-EC-RM,"39,680"
324,Investigations,Haematology,DATAR-LB-CT-PC-RM,"57,060"
325,Investigations,Haematology,DATAR-LB-CT-PC-TM,"104,610"
326,Investigations,Haematology,DATAR-LB-CT-ENC-D,"50,270"
327,Investigations,Haematology,DATAR-LB-CT-LC-TM,"104,610"
328,Investigations,Haematology,DATAR-LB-CT-ENC-TM,"104,610"
329,Investigations,Haematology,DATAR-LB-CT-ENC-RM,"50,270"
330,Investigations,Haematology,DATAR-LB-CT-PC-D,"50,270"
331,Investigations,Haematology,DATAR-LB-CT-OSO-D,"57,060"
332,Investigations,Haematology,DATAR-LB-CT-OSO-TM,"118,200"
333,Investigations,Haematology,DATAR-LB-CT-OSO-RM,"57,060"
334,Investigations,Haematology,DATAR-LB-CT-LUC-D,"57,060"
335,Investigations,Haematology,DATAR-LB-CT-LUC-TM,"118,200"
336,Investigations,Haematology,DATAR-LB-CT-LUC-RM,"57,060"
337,Investigations,Haematology,DATAR-LB-CT-SAC-RM,"57,060"
338,Investigations,Haematology,DATAR-LB-CT-SAC-TM,"118,200"
339,Investigations,Haematology,DATAR-LB-CT-LYC-TM,"118,200"
340,Investigations,Haematology,DATAR-LB-CT-LEC-D,"57,060"
341,Investigations,Haematology,DATAR-LB-CT-SAC-D,"57,060"
342,Investigations,Haematology,DATAR-LB-CT-LYC-RM,"57,060"
343,Investigations,Haematology,DATAR-LB-CT-LEC-RM,"57,060"
344,Investigations,Haematology,DATAR-LB-CT-LEC-TM,"118,200"
345,Investigations,Haematology,DATAR-CORREKT CHEMO SENSITIVITY TEST,"43,470"
346,Investigations,Haematology,DATAR- CHIMERISM TEST,"20,250"
347,Investigations,Haematology,DATAR- FUSION SEARCH ANALYSIS (FOR LEUKEMIA),"38,040"
348,Investigations,Haematology,DATAR- MINIMAL RESIDUAL DISEASE(MRD)(RNA BASED)- SARCOMA/LEUKEMIA (EXPECT CML),"23,100"
349,Investigations,Haematology,DATAR- EXACTA,"326,040"
350,Investigations,Haematology,DATAR- TUMOR PAIRED WHOLE EXOME SEQUENCING,"285,290"
351,Investigations,Haematology,DATAR- COMPREHENSIVE EXACTA,"747,180"
352,Investigations,Haematology,DATAR- GERMLINE WHOLE EXOME SEQUENCING,"122,270"
353,Investigations,Haematology,DATAR-LB-CT-PNC-D,"57,060"
354,Investigations,Haematology,DATAR-LB-CT-PNC-TM,"118,200"
355,Investigations,Haematology,DATAR-LB-CT-PNC-RM,"57,060"
356,Investigations,Haematology,(AHLL) MULTIPLE MYELOMA PANEL BY FISH,"15,020"
357,Investigations,Haematology,"(AHLL) AML with Normal Cytogenetics (FLT3,NPM1, CEBPA)","13,990"
358,Investigations,Haematology,(AHLL) DPD GENE MUTATIONS(Dihydropyrimidine Dehydrogenase Gene Mutation),"18,590"
359,Investigations,Haematology,(AHLL) C-KIT MUTATION,"7,150"
360,Investigations,Haematology,"(AHLL) FISH, IGH/C-MYC (8 14) BURKITT LYMPHOMA","10,230"
361,Investigations,Haematology,(AHLL) Hereditary Cancer Panel-Next,"48,620"
362,Investigations,Haematology,(ONCQUEST) CLL MRD PANEL,"16,500"
363,Investigations,Haematology,(ONCQUEST) AML MRD PANEL,"16,500"
364,Investigations,Haematology,(AHLL) LIQUID BIOPSY EGFR TRUE,"20,740"
365,Investigations,Haematology,(ONCQUEST) AML COMBOQUEST 9,"18,920"
366,Investigations,Haematology,(AHLL) PNH - PAROXYSMAL NOCTURNAL HEMOGLOBINURIA PANEL,"11,370"
367,Investigations,Haematology,(AHLL) THALASSEMIA (PARENTAL MUTATION),"20,020"
368,Investigations,Haematology,(AHLL) IDH 1/2 MUTATION ANALYSIS,"12,820"
369,Investigations,Haematology,(AHLL) ALL PANEL,"15,020"
370,Investigations,Haematology,(LILAC) MICROARRAY 315K (CGH PLUS SNP),"19,800"
371,Investigations,Haematology,(LILAC) MICROARRAY 750K (CGH PLUS SNP),"28,600"
372,Investigations,Haematology,(AHLL) PLACENTAL GROWTH FACTOR (PLGF),"2,750"
373,Investigations,Haematology,(AHLL) CHROMOSOMAL ANALYSIS - CHORIONIC VILLI,"10,260"
374,Investigations,Haematology,(LILAC) KARYOTYPE- AMNIOTIC FLUID,"7,150"
375,Investigations,Haematology,(AHLL) EFTS ANEUPLOIDY AND PRE- ECLAMPSIA,"4,400"
376,Investigations,Haematology,"(AHLL) FISH, PRENATAL ANEUPLOIDY DETECTION-CVS (2 PROBES- TRISOMY 21 & 13)","4,950"
377,Investigations,Haematology,(LILAC) FISH FOR 21 AMNIOTIC FLUID,"4,950"
378,Investigations,Haematology,(LILAC) FISH 5 PROBES - CVS,"7,150"
379,Investigations,Haematology,(LILAC) FISH 5 PROBES - AMNIOTIC FLUID,"7,150"
380,Investigations,Haematology,(LILAC) QFPCR 5 PROBES - CVS,"7,150"
381,Investigations,Haematology,(LILAC) QFPCR 5 PROBES - AMNIOTIC FLUID,"7,150"
382,Investigations,Haematology,(LILAC) FISH 5 PROBES - BLOOD,"7,150"
383,Investigations,Haematology,(LILAC) KT PLUS FISH 5 PROBES- CVS,"14,300"
384,Investigations,Haematology,(LILAC) FISH /QFPCR 5 PROBES - POC,"7,150"
385,Investigations,Haematology,(LILAC) MICRODELETION FISH - CVS,"7,150"
386,Investigations,Haematology,(LILAC) MICRODELETION FISH - AMNIOTIC FLUID,"7,150"
387,Investigations,Haematology,(AHLL) 22Q 11.2 MICRODELETION - CVS,"7,150"
388,Investigations,Haematology,(LILAC) 22Q 11. 2 MICRODELETION - AMNIOTIC FLUID,"7,150"
389,Investigations,Haematology,(LILAC) KT PLUS FISH 5 PROBES- AMNIOTIC FLUID,"14,300"
390,Investigations,Haematology,(LILAC) KT PLUS FISH PLUS 22Q11.2 - CVS,"17,600"
391,Investigations,Haematology,(LILAC) KT PLUS FISH PLUS 22Q11.2 - AMNIOTIC FLUID,"17,600"
392,Investigations,Haematology,(LILAC) KT PLUS QFPCR 5 PROBES - CVS,"14,300"
393,Investigations,Haematology,(LILAC) KT PLUS QFPCR 5 PROBES - AMNIOTIC FLUID,"14,300"
394,Investigations,Haematology,(LILAC) KT PLUS PRENATAL BOBS - AMNIOTIC FLUID,"18,700"
395,Investigations,Haematology,(LILAC) MOLECULAR KARYOTYPE - CVS,"13,200"
396,Investigations,Haematology,(LILAC) KT PLUS QFPCR PLUS 22Q11.2 - CVS,"17,600"
397,Investigations,Haematology,(LILAC) KT PLUS QFPCR PLUS 22Q11.2 - AMNIOTIC FLUID,"17,600"
398,Investigations,Haematology,(LILAC) MOLECULAR KARYOTYPE - AMNIOTIC FLUID,"13,200"
399,Investigations,Haematology,(LILAC) PRENATAL BOBS - CVS,"13,200"
400,Investigations,Haematology,(LILAC) B -THALASSEMIA SEQUENCING (1 PARENT PLUS FETUS),"11,000"
401,Investigations,Haematology,(LILAC) B -THALASSEMIA 5 COMMON MUTATIONS (PRENATAL DIAGNOSIS),"4,950"
402,Investigations,Haematology,(LILAC) B -THALASSEMIA SEQUENCING (INDIVIDUAL),"7,150"
403,Investigations,Haematology,(LILAC) PRENATAL BOBS - AMNIOTIC FLUID,"13,200"
404,Investigations,Haematology,(AHLL) B -THALASSEMIA 5 COMMON MUTATIONS (1 INDIVIDUAL),"3,110"
405,Investigations,Haematology,(AHLL) SICKLE CELL ANAEMIA - HB3 GENE,"6,840"
406,Investigations,Haematology,(AHLL) SICKLE CELL DNA PCR PND,"9,850"
407,Investigations,Haematology,(AHLL) Y CHROMOSOME MICRO DELETION (16 MUTATIONS),"8,560"
408,Investigations,Haematology,(AHLL) SMA (EXON 7 AND 8 OF SMN 1 AND 2) INDIVIDUAL,"7,260"
409,Investigations,Haematology,(AHLL) TORCH PCR QUALITATIVE,"7,410"
410,Investigations,Haematology,(LILAC) MATERNAL CELL CONTAMINATION TESTING WITH EXTRACTION,"4,950"
411,Investigations,Haematology,(LILAC) MATERNAL CELL CONTAMINATION WITHOUT EXTRACTION,"6,050"
412,Investigations,Haematology,(AHLL) DNA-CYSTIC FIBROSIS(FOUR COMMON MUTATIONS),"9,570"
413,Investigations,Haematology,(LILAC) DNA STORAGE,"3,850"
414,Investigations,Haematology,(AHLL) SINGLE VARIANT ANALYSIS (SANGER),"6,600"
415,Investigations,Haematology,(LILAC) SINGLE VARIANT ANALYSIS (SANGER) PLUS MATERNAL CELL CONTAMINA,"14,300"
416,Investigations,Haematology,(LILAC) NEPHROLOGY PANEL,"38,500"
417,Investigations,Haematology,(AHLL) SKELETAL DYSPLASIS PANEL,"38,500"
418,Investigations,Haematology,(LILAC) INSIGH T,"27,500"
419,Investigations,Haematology,(LILAC) INSIGH T PLUS,"33,000"
420,Investigations,Haematology,(AHLL) TEL-PDGR BETA T(5;12) TRANSLOCATION,"6,080"
421,Investigations,Haematology,(AHLL) MDS NGS PANEL,"37,320"
422,Investigations,Haematology,"(AHLL) Lymphoma Aggressive Panel (C- MYC, BCL2, BCL6)","17,160"
423,Investigations,Haematology,(AHLL) MYELOID RISK STRATIFICATION PANEL - NGS,"37,320"
424,Investigations,Haematology,(ONCQUEST) H. D. MUTATION ANALYSIS (CAG COUNT),"6,010"
425,Investigations,Haematology,(ONCQUEST) HRR GENE PANEL,"21,450"
426,Investigations,Haematology,(AHLL) SICKLING TEST,"6,820"
427,Investigations,Microbiology,(AHLL) VARICELLA-IgM (Chicken Pox),"1,500"
428,Investigations,Microbiology,(ONCQUEST) MONOSPOT TEST,"1,950"
429,Investigations,Microbiology,(AHLL) HEPATITIS B VIRUS - GENOTYPING,"18,010"
430,Investigations,Microbiology,(AHLL) VARICELLA IGG (CHICKEN POX),"1,500"
431,Investigations,Microbiology,(AHLL) ENDOMYSIAL ANTIBODIES BY IFA,"4,150"
432,Investigations,Microbiology,(AHLL) ANTI GLIADIN - IgA,"2,830"
433,Investigations,Microbiology,(SRL) AFB ANTIBIOTIC SUSCEPT TEST(PYRAZINAMIDE),"2,790"
434,Investigations,Microbiology,(AHLL) MYCOBACTERIAL AFB DETECTION AND DRUG RESISTANCE - 1ST LINE - HAINS,"5,140"
435,Investigations,Microbiology,(AHLL) MYCOBACTERIAL AFB SENSITIVITY TESTING ALONE - 10 DRUGS,"9,690"
436,Investigations,Microbiology,(AHLL) ANTI-PARIETAL CELL ANTIBODY(APCA)SCREENING,"2,440"
437,Investigations,Microbiology,(AHLL) ANTI DS-DNA BY- IFA QUALITATIVE,"3,810"
438,Investigations,Microbiology,"(ONCQUEST) ANTIENDOMYSIAL ANTIBODY,IGA,IFA","3,040"
439,Investigations,Microbiology,"(AHLL) GLIADIN DEAMIDATED ANTIBODIES PANEL, IgA & IgG","5,670"
440,Investigations,Microbiology,(LAL) BACTERIAL MENINGITIS PANEL,"3,100"
441,Investigations,Microbiology,(AHLL) C1 ESTERASE INHIBITOR,"4,020"
442,Investigations,Microbiology,(AHLL) CHLAMYDIA IGG,"3,610"
443,Investigations,Microbiology,(AHLL) ANTI CYSTICERCOSIS (IgG) ANTIBODY,"2,000"
444,Investigations,Microbiology,(AHLL) LEPTOSPIRA IgG ANTIBODIES,"1,240"
445,Investigations,Microbiology,(AHLL) FTA-ABS,"3,710"
446,Investigations,Microbiology,(AHLL) HEPATITIS E VIRUS IGG (HEV IGG),"1,490"
447,Investigations,Microbiology,(AHLL) LEISHMANIA ANTIBODIES/ KALA AZAR ANTIBODIES (IGG),"2,080"
448,Investigations,Microbiology,(AHLL) MUMPS IGG,"1,730"
449,Investigations,Microbiology,(AHLL) MUMPS IGM,"1,730"
450,Investigations,Microbiology,(AHLL) WEIL FELIX TEST,"1,510"
451,Investigations,Microbiology,(AHLL) MEASLES IGG ANTIBODIES,"1,720"
452,Investigations,Microbiology,(AHLL) MEASLES IGM ANTIBODIES,"1,720"
453,Investigations,Microbiology,(AHLL) AMOEBIAIS ANTIBODIES ELISA,"2,050"
454,Investigations,Microbiology,(AHLL) ANTI SACCHAROMYCES CEREVISIAE ANTIBODY (ASCA) IGA,"3,490"
455,Investigations,Microbiology,(AHLL) ANTI SACCHAROMYCES CEREVISIAE ANTIBODY (ASCA) IGG,"3,490"
456,Investigations,Microbiology,(AHLL) MENINGITIS/ENCEPHALITIS (ME) PANEL (FILMARRAY),"15,550"
457,Investigations,Microbiology,"(AHLL) LYME DISEASE (BORRELIA BURGDORFERI) ANTIBODIES, IGG & IGM","6,840"
458,Investigations,Microbiology,(SRL) BORRELIA BURGDORFRI IgG,"1,740"
459,Investigations,Microbiology,"(AHLL) CELIAC PROFILE (TTG IGA ABS, GLIADIN IGG & IGA ABS)","9,300"
460,Investigations,Microbiology,(SRL) CHLAMYDIA TRACHOMATIS IgG ANTIBODY,"1,070"
461,Investigations,Microbiology,(SRL) CHLAMYDIA TRACHOMATIS IgM ANTIBODY,"1,070"
462,Investigations,Microbiology,(AHLL) EBV - VIRAL CAPSID ANTIGEN (VCA) IGG,"2,400"
463,Investigations,Microbiology,"(AHLL) ECHINOCOCCUS ANTIBODY, IGG (HYDATID SEROLOGY)","2,650"
464,Investigations,Microbiology,(AHLL) HCV QUANTITATIVE (VIRAL LOAD) - REAL TIME PCR,"25,560"
465,Investigations,Microbiology,(AHLL) HCV GENOTYPING,"19,650"
466,Investigations,Microbiology,(AHLL) ANTI HELICOBACTER PYLORI IGG,"3,330"
467,Investigations,Microbiology,(AHLL) ANTI HELICOBACTER PYLORI IGM,"3,330"
468,Investigations,Microbiology,(AHLL) HEPATITIS DELTA VIRUS IgG ANTIBODIES,"2,730"
469,Investigations,Microbiology,(AHLL) HIV MONITOR (CD4+CD8+VIRAL LOAD),"14,380"
470,Investigations,Microbiology,(AHLL) HTLV - 1 AND 2 ELISA,"5,390"
471,Investigations,Microbiology,(AHLL) INTRINSIC FACTOR IgG,"17,310"
472,Investigations,Microbiology,(AHLL) JC/BK DNA PCR (QUALITATIVE),"6,420"
473,Investigations,Microbiology,(AHLL) MYCOBACTERIA DETECTION,"2,950"
474,Investigations,Microbiology,(AHLL) Mycoplasma pneumoniae - IgM,"2,530"
475,Investigations,Microbiology,(AHLL) TOXOPLASMA DNA PCR - QUALITATIVE,"3,990"
476,Investigations,Microbiology,(SRL) RETICULIN ANTIBODIES,"14,710"
477,Investigations,Microbiology,(AHLL) TPHA-TREPONEMA PALLIDIUM HEMAGGLUTINATION ASSAY,700
478,Investigations,Microbiology,"(AHLL) CHLAMYDIA TRACHOMATIS,PCR","4,570"
479,Investigations,Microbiology,(AHLL) ENTEROVIRUS RT PCR QUANTITATIVE(OTHERS),"5,080"
480,Investigations,Microbiology,(AHLL) HIV QUALITATIVE (WINDOW PERIOD DETECTION),"4,510"
481,Investigations,Microbiology,(AHLL) HEPATITIS B VIRAL DRUG RESISTANCE AND GENOTYPING,"17,110"
482,Investigations,Microbiology,"(AHLL) CHROMOSOME ANALYSIS, PRODUCTS OF CONCEPTION","13,310"
483,Investigations,Microbiology,(AHLL) PARVOVIRUS B19 DNA PCR- QUALITATIVE,"5,700"
484,Investigations,Microbiology,(AHLL) FISH-PRADER-VILLI,"7,990"
485,Investigations,Microbiology,(RELIANCE) YMDD PCR,"5,060"
486,Investigations,Microbiology,(SRL) AMNIOTIC FLUID-LECITHIN SPINGOMYL,"1,710"
487,Investigations,Microbiology,(AHLL) ANTI HEPATITIS D VIRUS (HDV) ANTIBODY - IGM,"4,390"
488,Investigations,Microbiology,(SRL) SERODIAGNOSIS OF HYDATID DISEASE,"2,440"
489,Investigations,Microbiology,(SRL) VZV PCR,"3,520"
490,Investigations,Microbiology,(AHLL) MYCOBACTERIUM TUBERCULOSIS (TB) DNA PCR - QUALITATIVE,"9,130"
491,Investigations,Microbiology,"(AHLL) BK VIRUS, PCR, QUANTITATIVE","12,870"
492,Investigations,Microbiology,(AHLL) ISLET CELL ANTIBODY,"3,850"
493,Investigations,Microbiology,(RELIGARE) JC/BK VIRUS QUANTITATIVE PCR,"9,740"
494,Investigations,Microbiology,(AHLL) SEPSISCREEN,"19,540"
495,Investigations,Microbiology,"(AHLL) COXSACKIE ANTIBODY - IGM, SERUM","5,720"
496,Investigations,Microbiology,(AHLL) Trypanosoma cruzi IgG,"3,220"
497,Investigations,Microbiology,(LAL PATH LAB)TISSUE TRANSGLUTAMINASE TTG-DGP SCREEN,"2,720"
498,Investigations,Microbiology,(AHLL) CHLAMYDIA IGM,"3,610"
499,Investigations,Microbiology,(AHLL) CHLAMYDIA IGA,"3,610"
500,Investigations,Transplantation immunology,"(AHLL) IMMUNOFIXATION ELECTROPHORESIS, CSF","6,740"
501,Investigations,Transplantation immunology,(AHLL) CH 50 COMPLEMENT TOTAL SERUM,"6,440"
502,Investigations,Transplantation immunology,(AHLL) DSA,"11,800"
503,Investigations,Transplantation immunology,(AHLL) ANTI VGKC ANTIBODY,"18,590"
504,Investigations,Transplantation immunology,(AHLL) VOLTAGE-GATED POTASSIUM CHANNEL (VGKC) ANTIBODY,"18,590"
505,Investigations,Transplantation immunology,(AHLL) NMDA RECEPTOR ANTIBODY/ANTIGLUTAMATE,"12,210"
506,Investigations,Transplantation immunology,(AHLL) SINGLE ANTIGEN BEAD CLASS I (A B LOCI),"24,670"
507,Investigations,Transplantation immunology,"(AHLL) SINGLE ANTIGEN BEAD CLASS II (DR, DQ & DP LOCI)","21,450"
508,Investigations,Transplantation immunology,(AHLL) AUTOIMMUNE ENCEPHALITIS PANEL,"28,600"
509,Investigations,Transplantation immunology,"(AHLL) IMMUNE DEFICIENCY PANEL - II, (CD3, CD4, CD8)","8,870"
510,Investigations,Transplantation immunology,(AHLL) CLASS I ANTIBODY DETECTION (PRA%),"13,410"
511,Investigations,Transplantation immunology,(AHLL) CLASS II ANTIBODY DETECTION (PRA%),"13,410"
512,Investigations,Transplantation immunology,(AHLL) FECAL CALPROTECTIN,"4,200"
513,Investigations,Transplantation immunology,(AHLL) PLA2 RECEPTOR ANTIBODY,"12,320"
514,Investigations,Transplantation immunology,(AHLL) Flow-crossmatch,"8,580"
515,Investigations,Transplantation immunology,(AHLL) Anti-Tryptase,"3,300"
516,Investigations,Transplantation immunology,(AHLL) ANTI-NMO (NEUROMYELITIS OPTICA ) ANTIBODY / AQUAPORIN 4,"6,710"
517,Investigations,Transplantation immunology,(AHLL) ALLERGY-COCKROACH,"1,570"
518,Investigations,Transplantation immunology,"(AHLL) ALLERGY, DOG DANDER","1,570"
519,Investigations,Transplantation immunology,(AHLL) ALLERGY COMPREHENSIVE PANEL,"18,590"
520,Investigations,Transplantation immunology,(AHLL) ALLERGY-MITES,"2,570"
521,Investigations,Transplantation immunology,"(AHLL) ALLERGY, CAT DANDER","1,570"
522,Investigations,Transplantation immunology,"(AHLL) ALLERGY, BERMUDA GRASS","1,570"
523,Investigations,Transplantation immunology,"(AHLL) ALLERGY, JOHNSON GRASS","1,570"
524,Investigations,Transplantation immunology,"(AHLL) ALLERGY, COMMON RAGWEED","1,570"
525,Investigations,Transplantation immunology,"(AHLL) ALLERGY, PEANUT","1,570"
526,Investigations,Transplantation immunology,"(AHLL) ALLERGY, MILK","1,570"
527,Investigations,Transplantation immunology,(AHLL) AVIAN ANTIGEN HP PANEL (PIGEON+IGG AF),"3,150"
528,Investigations,Transplantation immunology,"(AHLL) AVIAN ANTIGEN PLUS(ASPERGILLUS.FUMIGATUS- SPECIFIC IgG & Pigeon serum proteins, feathers and droppings)","4,290"
529,Investigations,Transplantation immunology,"(AHLL) ALLERGY, ASPERGILLUS FUMIGATUS","2,220"
530,Investigations,Transplantation immunology,(AHLL) ASPERGILLUS IgG ANTIBODY,"2,570"
531,Investigations,Transplantation immunology,(AHLL) HYPERSENSITIVITY PNEUMONITIS PANEL,"10,730"
532,Investigations,Transplantation immunology,(AHLL) COMPREHENSIVE MYELOMA PROTEIN PANEL,"10,730"
533,Investigations,Transplantation immunology,(AHLL) ANTI -MOG (ANTI MYELIN OLIGODENDROCYTE GLYCOPROTEIN),"14,300"
534,Investigations,Transplantation immunology,(AHLL) ORANGE ALLERGY TEST,"2,150"
535,Investigations,Transplantation immunology,"(AHLL) ALLERGY, SPINACH","2,150"
536,Investigations,Transplantation immunology,"(AHLL) ALLERGY, TOMATO","2,150"
537,Investigations,Transplantation immunology,"(AHLL) ALLERGY, MANGO","2,150"
538,Investigations,Transplantation immunology,(AHLL) NEURONAL (PARANEOPLASTIC) AUTOANTIBODIES PROFILE,"11,410"
539,Investigations,Transplantation immunology,(AHLL) IMMUNOFIXATION ELECTROPHORESIS URINE,"7,700"
540,Investigations,Transplantation immunology,(AHLL) ALLERGY PHADIATOP - PEDIATRIC,"1,510"
541,Investigations,Histopathology,(AHLL) FISH-EGFR GENE AMPLIFICATION,"15,130"
542,Investigations,Histopathology,(AHLL) ALK GENE REARRANGEMENT BY FISH,"15,580"
543,Investigations,Histopathology,(DABUR) CKIT MUTATION ANALYSIS,"15,130"
544,Investigations,Histopathology,(AHLL) EGFR MUTATION STUDY (10 COMMON MUTATIONS),"12,860"
545,Investigations,Histopathology,(AHLL) KRAS (COLORECTAL CANCER MARKER) MUTATIONS,"9,830"
546,Investigations,Histopathology,"(AHLL) IMMUNOHISTOCHEMISTRY, MICROSATELLITE INSTABILITY PANEL FOR COLORECTAL CANCER","8,560"
547,Investigations,Histopathology,(AHLL) MYCN (N-MYC) GENE AMPLIFICATION BY FISH(NEUROBLASTOMA/MEDILLOBLAST OMA),"12,100"
548,Investigations,Histopathology,(AHLL) HISTOPATHOLOGY & IHC; COMPLETE DIAGNOSIS WITH SPECIAL STAINS & IHC (AS AND WHEN NEEDED),"6,740"
549,Investigations,Histopathology,(AHLL) COPPER STAIN,"17,020"
550,Investigations,Histopathology,(AHLL) ER + PR IMMUNOHISTOCHEMISTRY IHC MARKERS,"2,510"
551,Investigations,Histopathology,(AHLL) ELECTRON MICROSCOPY - TISSUE,"18,390"
552,Investigations,Histopathology,"(AHLL) FISH, HER-2 NEU ONCOGENE AMPLIFICATION, BREAST CANCER","16,640"
553,Investigations,Histopathology,(AHLL) ORCEINE STAIN FOR COPPER FOR WILSON DISEASE,500
554,Investigations,Histopathology,C MYC GENE AMPLIFICATION(DUBBER- ONCOEST),"14,300"
555,Investigations,Histopathology,(AHLL) OSTEONECTIN,"4,840"
556,Investigations,Histopathology,MSI-IHC(ONCQUEST),"5,720"
557,Investigations,Histopathology,(AHLL) FISH-ROS1,"14,190"
558,Investigations,Histopathology,(RELIANCE) PDGFRA,"6,930"
559,Investigations,Histopathology,(ONCQUEST) MET GENE AMPLIFICATION BY FISH,"14,160"
560,Investigations,Histopathology,(AHLL) IHC-PDL1,"8,580"
561,Investigations,Histopathology,(ONCQUEST) ALKD5F3,"12,580"
562,Investigations,Histopathology,(AHLL) FISH1P/19Q DELETION BY FISH,"15,590"
563,Investigations,Histopathology,(AHLL) IDH1 R132H (H09),"2,600"
564,Investigations,Histopathology,(AHLL) O6-methylguanine methyltransferase (MGMT) promoter,"17,880"
565,Investigations,Histopathology,(ONCQUEST) NGS CANCER HOTSPOT 50 GENE PANEL,"47,960"
566,Investigations,Histopathology,(AHLL) ONCOMINE MYELOID COMPREHENSIVE PANEL (79 GENE TARGETS),"49,500"
567,Investigations,Histopathology,(AHLL) MICROSATELLITE STABILITY INDEX(MSIANALYSIS),"14,300"
568,Investigations,Histopathology,(ONCQUEST) HRR MUTATION TESTING (BLOCK),"40,040"
569,Investigations,Pet CT,(QUADRA LAB) PET CT PSMA,"27,500"
570,Investigations,Ear Nose and Throat,(VDC) VESTIBULAR FUNCTION TEST,"23,100"
571,Investigations,Gastroenterology,(ASIAN INSTITUTE OF GASTROENTEROLOGY) PANCREATIC GENETIC STUDY,"15,730"
572,Investigations,FETAL MEDICINE,(LILAC) B-THALASSEMIA SEQUENCING (BOTH PARENTS PLUS FETUS),"17,160"
573,Profile,BioChemistry,SPINAL MUSCULAR ATROPHY MICRODELETION (RANBAXY),"3,140"
574,Profile,BioChemistry,(BABY SHIELD) CDC PROFILE - 1,"52,470"
575,Profile,Transplantation immunology,(AHLL) ALLERGY RHINITIS/ASTHMA/INHALANT MAXI PANEL,"16,730"
576,Profile,Wards Others,APOLLO BMT DONOR WORKUP-DARTI,"41,930"
